id	class	pos	qual	aScore	numN	readLen	junction	strand	posR2	qualR2	aScoreR2	numNR2	readLenR2	junctionR2	strandR2
J00118:113:H3TK7BBXX:3:1211:30655:47823	linearStrong	61	42	0	0	109	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	66	42	0	0	104	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1208:11099:9403	linearStrong	36	42	0	0	142	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	64	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1207:18700:10088	linearStrong	61	42	0	0	107	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	107	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1207:22435:1894	linearStrong	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	99	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1206:8562:45731	linearStrong	37	42	0	0	129	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	37	42	0	0	129	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1205:26869:25791	linearStrong	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	89	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1125:13758:20304	linearStrong	37	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	87	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1123:12428:33826	linearStrong	123	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	138	38	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1123:24109:26213	linearStrong	61	24	-12	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	56	23	-15	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1123:28189:12603	linearStrong	36	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	36	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1121:29620:15363	linearStrong	61	3	-22	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	57	40	-9	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1120:21927:15821	linearStrong	24	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	62	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1117:26778:17649	linearStrong	34	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	89	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1114:23663:13236	linearStrong	79	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	118	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:1112:25266:20937	linearStrong	61	42	0	0	126	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	126	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2228:5720:42636	linearStrong	97	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	130	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2225:30482:26142	linearStrong	34	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	100	42	-3	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2224:24606:36007	linearStrong	43	42	0	0	124	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	43	39	0	0	124	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2220:32157:38328	linearStrong	62	42	0	0	128	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	94	42	0	0	144	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2218:1773:8857	linearStrong	39	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	64	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2217:13667:11706	linearStrong	64	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	3714295	42	0	0	151	chr16	16
J00118:113:H3TK7BBXX:2:2215:30228:37519	linearStrong	37	42	0	0	127	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	37	42	0	0	127	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2211:17300:18001	linearStrong	25	24	-12	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	23	24	-11	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2209:24992:37800	linearStrong	62	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	64	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2203:23855:31224	linearStrong	61	23	-18	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	56	23	-17	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2128:28818:18863	linearStrong	62	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	64	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2125:4898:31118	linearStrong	34	42	-3	0	130	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	34	37	0	0	130	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2122:25489:13658	linearStrong	37	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	40	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2122:23683:13658	linearStrong	37	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	40	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2115:27732:40156	linearStrong	65	42	-6	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	3714278	42	0	0	151	chr16	16
J00118:113:H3TK7BBXX:2:2114:31091:41546	linearStrong	40	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2112:29751:2545	linearStrong	61	42	-6	0	143	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	52	0	-35	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2110:12591:15961	linearStrong	61	0	-36	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	51	0	-36	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2109:6664:13640	linearStrong	38	42	-1	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	62	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:2106:15047:18669	linearStrong	91	42	0	0	147	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	50	42	0	0	117	chr16|TRAP1:3715971|TRAP1:3714460|reg|-	16
J00118:113:H3TK7BBXX:2:2104:28270:22028	linearStrong	25	24	-11	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	23	24	-11	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1221:17533:48579	linearStrong	36	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	79	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1215:9455:6449	linearStrong	25	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	102	42	0	0	141	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1207:28199:10862	linearStrong	61	42	0	0	105	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	105	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1204:27093:36446	linearStrong	61	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	86	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1201:6938:32367	linearStrong	61	42	0	0	125	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	61	42	0	0	125	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1127:15432:30626	linearStrong	36	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	86	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1126:24413:29413	linearStrong	52	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	52	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1125:19532:37378	linearStrong	42	42	0	0	123	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	42	42	0	0	123	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1120:7507:29518	linearStrong	61	42	0	0	143	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	111	42	-6	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1113:15544:7398	linearStrong	40	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	53	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1105:2432:41194	linearStrong	61	42	0	0	120	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	116	42	-2	0	133	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1105:5304:9666	linearStrong	40	42	0	0	143	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	63	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1105:30411:4321	linearStrong	61	42	-6	0	148	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	59	42	-4	0	148	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1104:22810:27971	linearStrong	36	42	-5	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	51	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:2:1103:15869:39787	linearStrong	40	42	0	0	130	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	40	42	0	0	130	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	16
J00118:113:H3TK7BBXX:3:2202:6816:42354	34	42	-3	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:3:2124:26007:26828	62	0	-29	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:3:2114:16427:39910	39	42	0	0	148	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:3:2108:7354:18423	72	42	0	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:2:2228:3640:14344	68	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:2:2208:26798:3969	52	0	-31	0	151	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:2:1221:12976:33545	68	42	0	0	150	chr16|TRAP1:3714274|TRAP1:3713563|reg|-	0	NA	NA	NA	NA	NA	NA	NA	unmapped
J00118:113:H3TK7BBXX:3:2224:5771:47190	linearStrong	114	42	0	0	116	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	114	42	0	0	116	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2212:16437:41264	linearStrong	23	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	26	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2211:4432:13289	linearStrong	99	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	126	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2208:1448:25949	linearStrong	115	42	0	0	122	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	114	42	-3	0	122	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2202:20466:47682	linearStrong	116	42	0	0	126	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	116	42	0	0	126	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2125:23723:20375	linearStrong	119	42	0	0	131	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	119	42	-1	0	131	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2123:4817:14871	linearStrong	87	42	0	0	128	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	78021678	42	0	0	56	chr14	16
J00118:113:H3TK7BBXX:3:2123:4909:14818	linearStrong	87	42	0	0	105	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	107	42	0	0	135	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:3:2118:31812:14836	linearStrong	96	42	-2	0	123	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	85	39	0	0	86	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:3:2107:31558:19777	linearStrong	87	42	-4	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	78021662	42	0	0	72	chr14	16
J00118:113:H3TK7BBXX:3:2106:7831:2334	linearStrong	17	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	126	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:2101:27204:43744	linearStrong	14	18	0	1	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	126	42	-3	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1220:15808:20410	linearStrong	114	42	0	0	95	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	114	42	0	0	95	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1219:4584:3811	linearStrong	119	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	129	25	0	2	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1128:2524:16946	linearStrong	102	42	0	0	70	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	90	0	-33	0	144	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1126:24058:48386	linearStrong	114	42	0	0	116	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	114	42	0	0	116	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1124:14225:12251	linearStrong	114	0	-30	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	107	0	-26	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1115:25905:2563	linearStrong	83	42	0	0	134	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	120	42	0	0	97	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1114:6299:9174	linearStrong	105	42	-6	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	103	24	-11	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:3:1111:15311:44517	linearStrong	116	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	13	6	0	11	151	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:3:1106:8471:27602	linearStrong	124	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	30	42	0	0	150	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:3:1103:14468:47419	linearStrong	119	42	0	0	119	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	119	42	0	0	119	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2224:7354:1789	linearStrong	114	42	0	0	150	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	15	40	0	9	151	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2220:13555:21078	linearStrong	99	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	105	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2218:30279:24560	linearStrong	100	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	132	42	0	0	135	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2215:2422:46944	linearStrong	119	42	0	0	110	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	119	42	0	0	110	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2214:22293:16102	linearStrong	13	18	0	2	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	102	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2213:12489:4040	linearStrong	100	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	117	42	0	0	150	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2209:7009:44693	linearStrong	24	42	0	0	150	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	25	42	0	0	150	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2209:17634:33985	linearStrong	115	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	47	42	0	0	133	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2209:29102:7011	linearStrong	95	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	99	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2208:11282:23610	linearStrong	118	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	47	42	0	0	150	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2204:23612:34108	linearStrong	115	42	-3	0	113	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	115	42	0	0	113	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2125:26311:13394	linearStrong	102	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	108	42	0	0	150	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2122:3112:18951	linearStrong	116	0	-26	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	107	0	-28	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2120:24251:44324	linearStrong	17	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	126	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2119:2270:10528	linearStrong	125	42	0	0	90	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	125	42	-4	0	90	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
J00118:113:H3TK7BBXX:2:2119:24495:5464	linearStrong	104	42	0	0	150	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	24	42	0	0	151	chr14|SPTLC2:78021642|SPTLC2:78018565|reg|-	16
J00118:113:H3TK7BBXX:2:2118:11606:31101	linearStrong	87	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	0	126	42	0	0	151	chr14|SPTLC2:78018438|SPTLC2:77987924|reg|-	16
